player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,cluster_label
Enes Kanter,POR,29.0,208.28,113.398,International,Turkey,2011,1,3,72,11.2,11.0,1.2,4.9,0.148,0.281,0.1689999999999999,0.636,0.069,2020-21,2
Eric Bledsoe,NOP,31.0,185.42,97.068688,Kentucky,USA,2010,1,18,71,12.2,3.4,3.8,-1.8,0.013,0.1,0.181,0.5329999999999999,0.17,2020-21,3
Eric Gordon,HOU,32.0,190.5,97.52228,Indiana,USA,2008,1,7,27,17.8,2.1,2.6,-3.3,0.009,0.062,0.246,0.5770000000000001,0.147,2020-21,3
Eric Paschall,GSW,24.0,198.12,115.66596,Villanova,USA,2019,2,41,40,9.5,3.2,1.3,-6.8,0.038,0.138,0.2339999999999999,0.561,0.125,2020-21,3
Evan Fournier,BOS,28.0,200.66,92.98636,International,France,2012,1,20,42,17.1,3.0,3.4,-1.4,0.0069999999999999,0.094,0.222,0.598,0.17,2020-21,3
Dwight Howard,PHI,35.0,208.28,120.20188,International,USA,2004,1,1,69,7.0,8.4,0.9,-2.4,0.148,0.309,0.173,0.61,0.076,2020-21,2
Jayson Tatum,BOS,23.0,203.2,95.25432,Duke,USA,2017,1,3,64,26.4,7.4,4.3,3.0,0.021,0.188,0.298,0.5760000000000001,0.196,2020-21,1
Isaac Bonga,WAS,21.0,203.2,81.64656,International,Germany,2018,2,39,40,2.0,1.7,0.6,-3.3,0.042,0.1,0.1009999999999999,0.461,0.072,2020-21,0
Jarred Vanderbilt,MIN,22.0,205.74,97.068688,Kentucky,USA,2018,2,41,64,5.4,5.8,1.2,-1.1,0.096,0.211,0.118,0.612,0.091,2020-21,2
Jarrell Brantley,UTA,25.0,195.58,113.398,College of Charleston,USA,2019,2,50,28,2.3,1.0,0.5,-9.1,0.059,0.125,0.182,0.605,0.17,2020-21,0
Jarrett Allen,CLE,23.0,210.82,110.222856,Texas-Austin,USA,2017,1,22,63,12.8,10.0,1.7,-5.6,0.106,0.2319999999999999,0.163,0.6609999999999999,0.087,2020-21,2
